Adj Close,Volume,pct_log,pct
21.70134,245039200,0.011985403799042116,0.03711906686840005
21.611185,187667600,-0.0013527783880491473,-0.004154351758923647
21.858528,168249600,0.0037030122959547107,0.011445138246699571
21.775311,121768400,-0.0012365780847279906,-0.003807072461604055
22.011097,128104000,0.0034958489006533533,0.010828134670499034
22.290796,152074400,0.004084402936414877,0.012707181291327752
22.630604,140560800,0.004873854485920148,0.01524431877623389
23.028202,152675200,0.005583455132953219,0.01756904057885511
23.210819,225324800,0.0025181936491369683,0.007930145827277357
23.196943,145364800,-0.0001901672422999212,-0.0005978246609910087
23.083683,169228800,-0.001556764164066804,-0.004882539910539108
22.760052,116693200,-0.004497783878115946,-0.014019903149770307
22.588993,160766400,-0.002414120026537625,-0.007515756115144323
22.635229,114019600,0.0006559005944348772,0.0020468375903255343
22.799351,93170000,0.002315933760616451,0.007250732917259306
22.891817,89638000,0.001294463267532242,0.004055641759276307
22.871012,83392400,-0.00029042393046552206,-0.0009088400453314271
23.035135,106405600,0.0022845681338337087,0.0071760270162073425
22.845577,126851600,-0.002634068452704419,-0.008229081357673862
22.501152,152082000,-0.004855289618878933,-0.015076222412767182
22.528896,127727600,0.00039576608020586157,0.0012330035368854908
22.454924,117780800,-0.0010558723650668789,-0.0032834276477640145
22.549698,125307200,0.001353603721764296,0.004220633300740628
22.036526,244032800,-0.0073884404495802025,-0.022757377948032897
21.983356,137647600,-0.0007811060638330813,-0.0024128122554343268
22.170595,142185600,0.0027444841018866573,0.008517307366536775
22.087376,116876400,-0.00121359169981472,-0.0037535754002091526
22.214518,128960800,0.0018545408607644198,0.005756319809107291
21.590385,301245600,-0.009190679289460268,-0.028095725507076064
21.276005,181958400,-0.004774407679554393,-0.014561111346555466
21.6343,161779600,0.005461870749971842,0.016840332571833816
21.821545,146124000,0.002803181972268254,0.008655006170756652
22.098932,143345600,0.004097280529355984,0.012711611391402533
22.165968,104106000,0.0009784621175752406,0.003033449761282503
21.957932,110820800,-0.0030432537613608313,-0.009385378522607235
22.082758,123796400,0.001835042521022734,0.005684779422761688
22.17753,100558400,0.0013837711924717944,0.004291674074407004
22.348591,115648400,0.0024793368965534412,0.007713257517856897
22.417934,95179600,0.0009971750948671865,0.0031027906859990573
22.519653,96670000,0.0014557341024652448,0.004537394034615394
22.392504,103568800,-0.0018180566811625276,-0.005646134955987203
22.836336,155676000,0.006313419054604141,0.019820561380719193
22.834026,120548000,-3.233640802347004e-05,-0.00010115458101500607
23.076742,145975600,0.003379996015089093,0.010629575353903853
23.085989,95119600,0.0001276357177026899,0.00040070647754353317
23.106792,105104000,0.00028691900515842583,0.0009011093265269832
22.98428,130808000,-0.0016929560399234767,-0.005301990860522743
22.806286,113254800,-0.0024799917776844316,-0.007744162531956533
22.501152,161531600,-0.004307494687001201,-0.013379381456498418
22.346275,224959200,-0.0022183137503877237,-0.00688306980904807
23.797966,369379200,0.020259855156774087,0.06496344469044613
24.119278,159479200,0.004231234988510968,0.013501658082879953
24.089226,110934800,-0.00039168918304099964,-0.0012459742783346162
24.514561,152671600,0.0055009036389976895,0.017656648661106944
24.151638,135266400,-0.004662024897108985,-0.014804385034673961
24.454458,120810400,0.003912986348758363,0.012538280012312164
24.60552,109634800,0.001926380531442673,0.006177278596810387
24.979713,162213600,0.0047122525724667685,0.015207685104805746
25.186558,112148800,0.0025625419581951636,0.008280519475944326
25.28882,105260800,0.0012559117937021025,0.00406018162545263
25.100567,96034000,-0.0023130424341727407,-0.007444119575369612
25.084297,109938000,-0.00020118670164281927,-0.0006481925288780443
